X,Y,Name,description
29.5090033888002,40.7903216597565,w0,
29.5089758110729,40.7903029072755,w1,
29.5089516488723,40.7902861111111,w2,
29.5089256766998,40.7902693746215,w3,
29.5089500392844,40.7902565774472,w46,
29.5088990117925,40.7902524757448,w4,
29.5088666224015,40.7902323786703,w5,
29.5088365982727,40.7902142712459,w6,
29.508799618322,40.7901918598811,w7,
29.5087766239475,40.7901763540318,w8,
29.5087527226075,40.7901610272208,w9,
29.5087308847372,40.7901464325118,w10,
29.5087098183559,40.7901338739163,w11,
29.5086872518655,40.7901174561582,w12,
29.5086598183468,40.7901026463153,w13,
29.5086830956339,40.7900879626069,w14,
29.5086361891963,40.7900845538896,w15,
29.5086014732454,40.7900645128375,w16,
29.5085689327654,40.790045514151,w17,
29.5085446206035,40.7900311903631,w18,
29.5085248242161,40.7900164225719,w19,
29.5085020278071,40.7900005402419,w20,
29.5084753223944,40.7899839853545,w21,
29.5084547977218,40.7899659982805,w22,
29.5084439215445,40.7899412280483,w23,
29.5089515564684,40.7902376307294,w24,
29.5089651620127,40.7902220380906,w25,
29.5089828914511,40.7902051683682,w26,
29.509011725968,40.7901886033995,w27,
29.5090286916062,40.7901649963636,w28,
29.5090539020309,40.7901424252867,w29,
29.5090760344545,40.7901218396221,w30,
29.5086853006482,40.7900656982478,w31,
29.5087095924975,40.790040462466,w32,
29.5087268000293,40.7900241128036,w33,
29.5087463874274,40.7900059240726,w34,
29.5087659776939,40.7899880866001,w35,
29.5087864108566,40.7899701519765,w36,
29.5088076904979,40.7899526646399,w37,
29.5084437909719,40.7899160022816,w38,
29.5084572822198,40.7898961320395,w39,
29.5084773998925,40.7898776374883,w40,
29.5084976514559,40.7898608575429,w41,
29.5085141069602,40.7898450149033,w42,
29.5085342772543,40.7898289924502,w43,
29.5085542744079,40.7898115332988,w44,
29.5085793754187,40.7897902949408,w45,
29.5088426004551,40.7899435947802,w61,
29.5088282017106,40.78993377935,w47,
29.5088110523998,40.7899233931872,w48,
29.5088098226525,40.7898971867122,w49,
29.5087874955394,40.7898786339663,w50,
29.5087682282155,40.789865606449,w51,
29.508739828382,40.7898481022851,w52,
29.5087131763488,40.7898320015357,w53,
29.5086865011851,40.7898160665326,w54,
29.5086595104961,40.789797239222,w55,
29.5086253715344,40.7897857114814,w56,
29.5086423693235,40.7897694235301,w57,
29.5086330709549,40.7897461622231,w59,
29.5086448642065,40.7897279928356,w60,
29.5086076024088,40.7897648809421,w58,